timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T17:55:00.000Z";"2024-11-10T21:15:00.000Z";"2781";1.9599059075;2.0680099999;1.9317749007;1.9987203201;81977202.57;567504858.33;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T09:28:00.000Z";"2024-11-09T00:07:00.000Z";"2781";1.8337611801;1.9798919607;1.8322527835;1.9599059075;65477471.82;555924806.57;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T14:31:00.000Z";"2024-11-08T03:05:00.000Z";"2781";1.8142844711;1.8658166609;1.7883482345;1.8337611801;37141164.45;519779586.43;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T01:44:00.000Z";"2024-11-07T14:03:00.000Z";"2781";1.8057014107;1.8673067263;1.7743617501;1.8142844711;41191346.18;504089781.57;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T23:31:00.000Z";"2024-11-06T00:04:00.000Z";"2781";1.6182205524;1.8081248242;1.6179387269;1.8056889098;58507229.35;501053603.35;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T14:53:00.000Z";"2024-11-05T00:01:00.000Z";"2781";1.5803318563;1.640112849;1.5802692387;1.6182205524;21436183.05;448610442.41;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T13:15:00.000Z";"2024-11-04T22:01:00.000Z";"2781";1.6134130955;1.6399706857;1.5548859893;1.5803318563;23032654.08;437784049.41;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:16:00.000Z";"2024-11-03T18:58:00.000Z";"2781";1.7046856639;1.7069071866;1.5804320288;1.6134130955;27651722.14;446799075.35;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:31:00.000Z";"2024-11-02T15:14:00.000Z";"2781";1.7263145692;1.7456490238;1.6889058607;1.7046856639;12503392.92;471676312.51;"2024-11-02T23:59:59.999Z"
"2024-11-01T00:00:00.000Z";"2024-11-01T23:59:59.999Z";"2024-11-01T14:22:00.000Z";"2024-11-01T21:40:00.000Z";"2781";1.7625395041;1.7870774783;1.7115697675;1.7263145692;22083084.8;477403821.22;"2024-11-01T23:59:59.999Z"
